COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS
Nacional,Mensual,	2012-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",79.090540296893,Índice,Cifras definitivas
Nacional,Mensual,	2012-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",79.439118937436,Índice,Cifras definitivas
Nacional,Mensual,	2012-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",79.841036119959,Índice,Cifras definitivas
Nacional,Mensual,	2012-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",80.383436504598,Índice,Cifras definitivas
Nacional,Mensual,	2012-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",80.568243283851,Índice,Cifras definitivas
Nacional,Mensual,	2013-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",80.89278201815,Índice,Cifras definitivas
Nacional,Mensual,	2013-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.290942965322,Índice,Cifras definitivas
Nacional,Mensual,	2013-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.887433139011,Índice,Cifras definitivas
Nacional,Mensual,	2013-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.941522928061,Índice,Cifras definitivas
Nacional,Mensual,	2013-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.668820241601,Índice,Cifras definitivas
Nacional,Mensual,	2013-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.619237934972,Índice,Cifras definitivas
Nacional,Mensual,	2013-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.592193040447,Índice,Cifras definitivas
Nacional,Mensual,	2013-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.824328385119,Índice,Cifras definitivas
Nacional,Mensual,	2013-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",82.132339683875,Índice,Cifras definitivas
Nacional,Mensual,	2013-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",82.522988160346,Índice,Cifras definitivas
Nacional,Mensual,	2013-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",83.292265160166,Índice,Cifras definitivas
Nacional,Mensual,	2013-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",83.770058296773,Índice,Cifras definitivas
Nacional,Mensual,	2014-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.519051625699,Índice,Cifras definitivas
Nacional,Mensual,	2014-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.733157040688,Índice,Cifras definitivas
